date	close
7-Feb-17	1041.60
8-Feb-17	1058.40
9-Feb-17	1050.00
10-Feb-17	1058.10
13-Feb-17	1055.60
14-Feb-17	1045.40
15-Feb-17	1061.10
16-Feb-17	1043.70
17-Feb-17	1034.90
21-Feb-17	1026.70
22-Feb-17	1022.90
23-Feb-17	1013.70
24-Feb-17	1013.90
27-Feb-17	1021.88
28-Feb-17	1036.38
1-Mar-17	1051.38
2-Mar-17	1036.62
3-Mar-17	1036.88
6-Mar-17	1037.38
7-Mar-17	1025.88
8-Mar-17	1021.88
9-Mar-17	1010.88
10-Mar-17	1006.62
13-Mar-17	1006.12
14-Mar-17	999.12
15-Mar-17	997.88
16-Mar-17	1000.88
17-Mar-17	1000.12
20-Mar-17	999.88
21-Mar-17	1001.88
22-Mar-17	999.38
23-Mar-17	990.62
24-Mar-17	975.62
27-Mar-17	971.38
28-Mar-17	971.88
29-Mar-17	968.62
30-Mar-17	962.88
31-Mar-17	945.88
3-Apr-17	937.62
4-Apr-17	937.62
5-Apr-17	943.62
6-Apr-17	940.88
7-Apr-17	942.38
10-Apr-17	941.88
11-Apr-17	940.12
12-Apr-17	947.62
13-Apr-17	955.62
17-Apr-17	953.12
18-Apr-17	945.62
19-Apr-17	951.12
20-Apr-17	946.62
21-Apr-17	950.88
24-Apr-17	971.88
25-Apr-17	965.38
26-Apr-17	956.75
27-Apr-17	957.62
28-Apr-17	957.12
1-May-17	970.62
2-May-17	969.12
3-May-17	974.88
4-May-17	973.38
5-May-17	973.12
8-May-17	965.62
9-May-17	973.88
10-May-17	969.25
11-May-17	966.12
12-May-17	962.88
15-May-17	965.12
16-May-17	976.38
17-May-17	975.88
18-May-17	944.62
19-May-17	953.12
22-May-17	956.38
23-May-17	948.38
24-May-17	948.12
25-May-17	939.38
26-May-17	926.38
30-May-17	912.62
31-May-17	915.88
1-Jun-17	911.88
2-Jun-17	920.62
5-Jun-17	921.62
6-Jun-17	923.12
7-Jun-17	930.88
8-Jun-17	937.88
9-Jun-17	941.38
12-Jun-17	930.88
13-Jun-17	932.88
14-Jun-17	931.88
15-Jun-17	934.62
16-Jun-17	939.38
19-Jun-17	937.62
20-Jun-17	927.62
21-Jun-17	918.88
22-Jun-17	903.88
23-Jun-17	904.38
26-Jun-17	911.88
27-Jun-17	915.88
28-Jun-17	918.62
29-Jun-17	920.62
30-Jun-17	948.38
3-Jul-17	971.88
5-Jul-17	982.38
6-Jul-17	986.62
7-Jul-17	1001.12
10-Jul-17	1024.88
11-Jul-17	1029.38
12-Jul-17	1020.62
13-Jul-17	975.12
14-Jul-17	988.62
17-Jul-17	985.62
18-Jul-17	989.62
19-Jul-17	999.88
20-Jul-17	1012.88
21-Jul-17	1009.38
24-Jul-17	997.88
25-Jul-17	981.12
26-Jul-17	988.88
27-Jul-17	994.88
28-Jul-17	1000.12
31-Jul-17	998.38
1-Aug-17	964.12
2-Aug-17	970.38
3-Aug-17	953.38
4-Aug-17	951.75
7-Aug-17	963.62
8-Aug-17	966.38
9-Aug-17	965.38
10-Aug-17	933.62
11-Aug-17	938.12
14-Aug-17	933.12
15-Aug-17	921.88
16-Aug-17	921.88
17-Aug-17	930.12
18-Aug-17	937.38
21-Aug-17	932.38
22-Aug-17	933.62
23-Aug-17	935.38
24-Aug-17	941.12
25-Aug-17	939.12
28-Aug-17	941.62
29-Aug-17	937.62
30-Aug-17	933.62
31-Aug-17	946.62
1-sep-17	948.88
5-sep-17	967.88
6-sep-17	970.75
7-sep-17	968.62
8-sep-17	961.88
11-sep-17	960.38
12-sep-17	950.62
13-sep-17	960.62
14-sep-17	976.38
15-sep-17	968.88
18-sep-17	967.38
19-sep-17	965.62
20-sep-17	970.12
21-sep-17	970.88
22-sep-17	984.38
25-sep-17	971.38
26-sep-17	963.38
27-sep-17	965.12
28-sep-17	959.62
29-sep-17	966.88
2-Oct-17	957.12
3-Oct-17	955.12
4-Oct-17	958.38
5-Oct-17	968.12
6-Oct-17	972.38
9-Oct-17	966.62
10-Oct-17	965.88
11-Oct-17	965.38
12-Oct-17	992.12
13-Oct-17	999.38
16-Oct-17	990.38
17-Oct-17	984.38
18-Oct-17	984.12
19-Oct-17	986.62
20-Oct-17	978.62
23-Oct-17	980.62
24-Oct-17	975.38
25-Oct-17	975.62
26-Oct-17	970.62
27-Oct-17	974.62
30-Oct-17	984.38
31-Oct-17	984.62
1-Nov-17	991.38
2-Nov-17	999.12
3-Nov-17	987.38
6-Nov-17	993.88
7-Nov-17	996.12
8-Nov-17	998.38
9-Nov-17	984.88
10-Nov-17	987.12
13-Nov-17	974.38
14-Nov-17	967.62
15-Nov-17	976.12
16-Nov-17	972.12
17-Nov-17	990.62
20-Nov-17	989.88
21-Nov-17	989.38
22-Nov-17	997.38
24-Nov-17	993.12
27-Nov-17	996.38
28-Nov-17	992.88
29-Nov-17	992.62
30-Nov-17	985.62
1-Dec-17	994.38
4-Dec-17	998.62
5-Dec-17	1008.38
6-Dec-17	1003.12
7-Dec-17	992.12
8-Dec-17	989.38
11-Dec-17	982.38
12-Dec-17	975.88
13-Dec-17	979.62
14-Dec-17	967.62
15-Dec-17	967.38
18-Dec-17	961.62
19-Dec-17	955.88
20-Dec-17	954.12
21-Dec-17	948.38
22-Dec-17	950.1
26-Dec-17	969.25
27-Dec-17	966.25
28-Dec-17	956.5
29-Dec-17	962.5
2-Jan-18	965.5
3-Jan-18	969
4-Jan-18	967.25
5-Jan-18	969.75
8-Jan-18	967
9-Jan-18	963.25
10-Jan-18	954.5
11-Jan-18	949
12-Jan-18	962.5
16-Jan-18	966.75
17-Jan-18	969.25
18-Jan-18	972.5
19-Jan-18	975.5
22-Jan-18	983.25
23-Jan-18	985.75
24-Jan-18	990.25
25-Jan-18	991.25
26-Jan-18	986
29-Jan-18	991.25
30-Jan-18	999.5
31-Jan-18	996.75
1-Feb-18	984.75
2-Feb-18	978.5
4-Feb-18	978.5
5-Feb-18	970.25
6-Feb-18	987
7-Feb-18	984
8-Feb-18	987.5
9-Feb-18	984
12-Feb-18	1001.25
